place_name,region,menu_name,menu_price,address,url,allergy
일신기사식당,청파동,순두부,8000,서울 용산구 청파동2가 1-146,https://pcmap.place.naver.com/place/18717848,땅콩/대두
일신기사식당,청파동,삼계탕,10000,서울 용산구 청파동2가 1-146,https://pcmap.place.naver.com/place/18717848,고기
일신기사식당,청파동,불고기백반,12000,서울 용산구 청파동2가 1-146,https://pcmap.place.naver.com/place/18717848,고기
정,청파동,매운맛 탕수육(소),17000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기"
정,청파동,고추간짜장,8500,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기"
정,청파동,탕수육(소),16000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기"
정,청파동,깐풍기(소),25000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,고기
정,청파동,삼선짬뽕,12000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,밀
정,청파동,고추짜장,7500,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,밀
정,청파동,전가복,28000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"달걀, 고기"
정,청파동,홍소탕면,12000,서울 용산구 청파동2가 67-6,https://pcmap.place.naver.com/place/11600155,"밀, 고기"
와플하우스,청파동,딸기빙수,13000,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,"우유"
와플하우스,청파동,와플,4000,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,"밀, 우유"
와플하우스,청파동,카라멜라떼,4800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유
와플하우스,청파동,바닐라라떼,4800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유
와플하우스,청파동,카페라떼,4500,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유
와플하우스,청파동,헤이즐넛아메리카노,4100,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,없음
와플하우스,청파동,아메리카노,3800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,없음
와플하우스,청파동,에그버거,5500,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,"달걀, 밀"
와플하우스,청파동,불고기버거,6800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,"밀, 고기"
와플하우스,청파동,커피쉐이크,4800,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,우유
와플하우스,청파동,청포도에이드,4500,서울 용산구 청파동2가 71-75,https://pcmap.place.naver.com/place/11620882,없음
